time,lat,lon,tempanomaly
1901-11-15,51.0,21.0,-0.91999996
1901-12-15,51.0,21.0,1.67
1902-01-15,51.0,21.0,5.2999997
1902-02-15,51.0,21.0,0.35999998
1902-03-15,51.0,21.0,-0.099999994
1902-04-15,51.0,21.0,-3.27
1902-05-15,51.0,21.0,-2.81
1902-06-15,51.0,21.0,-0.96999997
1902-07-15,51.0,21.0,-2.61
1902-08-15,51.0,21.0,-1.9
1902-09-15,51.0,21.0,-1.74
1902-10-15,51.0,21.0,-2.21
1902-11-15,51.0,21.0,-4.89
1902-12-15,51.0,21.0,-4.8599997
1903-01-15,51.0,21.0,1.8399999
1903-02-15,51.0,21.0,4.46
1903-03-15,51.0,21.0,3.75
1903-04-15,51.0,21.0,-1.54
1903-05-15,51.0,21.0,0.77
1903-06-15,51.0,21.0,-0.19999999
1903-07-15,51.0,21.0,-0.64
1903-08-15,51.0,21.0,-1.31
1903-09-15,51.0,21.0,0.22999999
1903-10-15,51.0,21.0,-0.79999995
1903-11-15,51.0,21.0,-0.57
1903-12-15,51.0,21.0,-1.05
1904-01-15,51.0,21.0,0.37
1904-02-15,51.0,21.0,2.3799999
1904-03-15,51.0,21.0,-1.05
1904-04-15,51.0,21.0,-1.12
1904-05-15,51.0,21.0,-1.9599999
1904-06-15,51.0,21.0,-1.39
1904-07-15,51.0,21.0,0.19
1904-08-15,51.0,21.0,-0.59999996
1904-09-15,51.0,21.0,-1.8199999
1904-10-15,51.0,21.0,-1.05
1904-11-15,51.0,21.0,-2.2
1904-12-15,51.0,21.0,1.14
1905-01-15,51.0,21.0,-0.87
1905-02-15,51.0,21.0,2.0
1905-03-15,51.0,21.0,0.61
1905-04-15,51.0,21.0,-2.6799998
1905-05-15,51.0,21.0,1.3
1905-06-15,51.0,21.0,2.07
1905-07-15,51.0,21.0,0.07
1905-08-15,51.0,21.0,0.41
1905-09-15,51.0,21.0,-0.35999998
1905-10-15,51.0,21.0,-3.6299999
1905-11-15,51.0,21.0,-0.01
1905-12-15,51.0,21.0,0.34
1906-01-15,51.0,21.0,2.08
1906-02-15,51.0,21.0,1.76
1906-03-15,51.0,21.0,0.08
1906-04-15,51.0,21.0,1.51
1906-05-15,51.0,21.0,2.95
1906-06-15,51.0,21.0,-0.88
1906-07-15,51.0,21.0,0.81
1906-08-15,51.0,21.0,-0.95
1906-09-15,51.0,21.0,-1.23
1906-10-15,51.0,21.0,-0.90999997
1906-11-15,51.0,21.0,2.18
1906-12-15,51.0,21.0,-3.34
1907-01-15,51.0,21.0,-0.58
1907-02-15,51.0,21.0,-1.89
1907-03-15,51.0,21.0,-1.48
1907-04-15,51.0,21.0,-2.6299999
1907-05-15,51.0,21.0,1.75
1907-06-15,51.0,21.0,-0.95
1907-07-15,51.0,21.0,-1.8399999
1907-08-15,51.0,21.0,-1.75
1907-09-15,51.0,21.0,-1.0
1907-10-15,51.0,21.0,4.35
1907-11-15,51.0,21.0,-2.6299999
1907-12-15,51.0,21.0,-1.91
1908-01-15,51.0,21.0,1.29
1908-02-15,51.0,21.0,2.32
1908-03-15,51.0,21.0,-0.32
1908-04-15,51.0,21.0,-2.37
1908-05-15,51.0,21.0,0.58
1908-06-15,51.0,21.0,0.25
1908-07-15,51.0,21.0,0.47
1908-08-15,51.0,21.0,-1.8499999
1908-09-15,51.0,21.0,-1.91
1908-10-15,51.0,21.0,-1.78
1908-11-15,51.0,21.0,-4.49
1908-12-15,51.0,21.0,-2.48
1909-01-15,51.0,21.0,-0.13
1909-02-15,51.0,21.0,-3.58
1909-03-15,51.0,21.0,-1.03
1909-04-15,51.0,21.0,-2.1499999
1909-05-15,51.0,21.0,-2.3
1909-06-15,51.0,21.0,-0.57
1909-07-15,51.0,21.0,-1.35
1909-08-15,51.0,21.0,-0.19999999
1909-09-15,51.0,21.0,1.36
